,id,texto,Re_tweet
0,0,@Bancointer cashback na loja,N
1,1,@ThiagoAstor @Bancointer @nubank Corta a sua luz de casa então filho da puta que a ligga patrocina a gente tbm,N
2,2,"@JAthleticano @ThiagoAstor @Bancointer @nubank Vou parar com x bacon, eles patrocinam a baleia da sua mãe",N
3,3,"RT @Bancointer: É oficial: voltamos pro mundo do esporte! E pra marcar esse momento, iniciamos uma parceria que é um verdadeiro furacão! ⚽️…",S
4,4,@JasonLLawrence @Bancointer Poderia liberar a dm por gentileza ?,N
5,5,@portallovato @Bancointer amoooo,N
6,6,"RT @ThiagoAstor: Infelizmente fechando minha conta @Bancointer por motivos de: Não serei conivente ao patrocínio ao cap. Obrigado por tudo,…",S
7,7,"@ThiagoAstor @Bancointer @nubank Agora sim, abrindo a conta na Inter. Valeu Inter",N
8,8,@isis4lbuquerque @Bancointer Esse é de que ?,N
9,9,@Bancointer está fora do ar? Assim que eu abro o app diz que está enfrentando problemas e que volta já.,N
10,10,"@Bancointer Eu entrei já duas vezes, em uma das vezes eles acharam que foi feito de outro banco para o inter, mas toda transação foi feita do inter para o inter e até então não puderam me ajudar",N
11,11,@AthleticoPR 🟣  &lt;  🧡 @Bancointer,N
12,12,"@alvxaro @Bancointer @MastercardBR Eu preciso ir nesse show @alvxaro 
Comprei junto com meu namorado os ingressos pro rock in rio 
Meu namorado terminou comigo 
Perdi meu emprego 😭
Só preciso ver o nosso loiro junto com vc meu influencer favorito 😍",N
13,13,@Bancointer 5 dias úteis e NADA eai. Tô sem dinheiro na conta nenê https://t.co/f9HMz3efxT,N
14,14,"@portallovato @Bancointer pl fazendo publi, chique dms",N
15,15,"@freddo_elyan @AthleticoPR @Bancointer Podia colocar o placar dos jogos também. Talvez colocar uma alusão ao drible do Cirino, o que acha?",N
16,16,@moraesvico @Bancointer As vezes até esqueço que tenho conta no inter :/,N
17,17,@yasminmotax @Bancointer Não uso esse cartão nunca mais. E olha que eu gostava muito.,N
18,18,"@Joao_Paulo1921 @Bancointer Ue, q isso",N
19,19,"Fiz até o cartão @Bancointer mas não consegui compra ingresso nem eu nem meu namorado, vai ficar pra próxima jb",N
20,20,"@yasminmotax @Bancointer E ainda pedi a moça pra refazer o acordo, pq não teria condições de pagar e ele disse que eu teria que pagar novamente pra refazer o acordo. 😒",N
21,21,@yasminmotax @Bancointer Simplesmente pegaram meu dinheiro e fizeram um acordo que só foi bom pra eles. E eu me ferrei,N
22,22,@Joao_Paulo1921 @Bancointer O q rolou?,N
23,23,"Nunca mais deixo meu dinheiro no @Bancointer. Depois de hoje, não uso mais esse cartão.",N
24,24,@isis4lbuquerque @Bancointer Como faz esse negócio de one ai kkkk,N
25,25,@heloirie @Bancointer Poderia liberar a dm por gentileza ?,N
26,26,@Bancointer lixo nojento horrível terrível lazarento morfético ruim feio abominável detestável abominável podre pobre asqueroso maligno deplorável lamentável desgraçado péssimo inútil infértil medíocre fraco incompetente mal comido lixo lixo lixo,N
27,27,@portallovato @Bancointer 🫶🏽,N
28,28,@Bancointer ótimo...time sério....time comprometido com as categorias de base.....mas não agrada aos normalmente afetados pela competência do @AthleticoPR,N
29,29,"@ThiagoAstor @Bancointer @nubank Pra seguir na zoeira.

Muda de estado tbém, o governo do PR pagou a arena 🤣",N
30,30,@the_buckminster @Bancointer kkkkkk...furacao é unico cabeça de purungo,N
31,31,"@ThiagoAstor @Bancointer @nubank A variedade de memes que esse verdaum dispara, não é brincadeira! Kkk",N
32,32,"RT @Bancointer: É oficial: voltamos pro mundo do esporte! E pra marcar esse momento, iniciamos uma parceria que é um verdadeiro furacão! ⚽️…",S
33,33,"@srvitiinho @Bancointer Se for por falta de tchau, Tchaaauuuu",N
34,34,"Aviso pra a @nubank @C6Bank @Bancointer eu juro que alguém clonou meu cartão não é possível minha faturar estar nesse valor, tenho Rock in Rio semana que vem gente o que vou fazer kkkkkkkkkkkkkkk 😿😿😿😿😿😿😿",N
35,35,@Bancointer ❣️🥰⚫️🔴,N
36,36,"RT @andsouz11: @ThiagoAstor @Bancointer @nubank Para de assistir sbt, eles transmitem libertadores",S
37,37,@the_buckminster @Bancointer ngm te chamo maria,N
38,38,Estou quase deixando de usar o @C6Bank para usar somente o @Bancointer Que o App deles é muito melhor!,N
39,39,@Bancointer Se fizer um cartao personalizado eu abro uma conta,N
40,40,"Ops, é o @Bancointer e me falaram das opções da @xpinvestimentos . Estou pesquisando...e aberto a propostas no DM.",N
41,41,"RT @AthleticoPR: O #Athletico e o @Bancointer, Super App que oferece produtos e serviços financeiros e não financeiros a mais de 20 milhões…",S
42,42,@Bancointer Posso passar o código de localização pra vier onde cartão se encontra ?,N
43,43,@Bancointer Pode me ajudar,N
44,44,RT @Bancointer: Só quem é lovatic de carteirinha sabe... 🩸 https://t.co/vv2UJUcq7r,S
45,45,"RT @portallovato: Atenção, lovatics!

Acompanhem hoje a cobertura do primeiro show da Holy Fvck Tour no Brasil no nosso perfil e no perfil…",S
46,46,@Bancointer ajuda eu pelo amor de deus,N
47,47,@lelo_rodri @Bancointer @nubank Pagarei minha Heineken com meu cartão Roxo da Nubank.,N
48,48,@JAthleticano @ThiagoAstor @Bancointer @nubank Tu é burro em?,N
49,49,"@Bancointer Fintech de merda

Time de merda

Kkkkkkkk

Antes que as cadelas espumem, perguntem pros sao paulinos",N
50,50,@portallovato @Bancointer Estou sjajabah,N
51,51,@johnislan @ThiagoAstor @Bancointer @nubank Tua coroa deve ser rubro negra tambem pq adora um grandao,N
52,52,@Bancointer Vai ter cartão do furacão também??,N
53,53,@Bancointer Dm pf,N
54,54,@mateusbarchik01 @Kovalesski @AthleticoPR @Bancointer Que lance do Cirino,N
55,55,"@srvitiinho @Bancointer Meu Deus, era o que eu precisava para abrir minha conta no Inter. vamooooos",N
56,56,"EU TÔ RYCAAAAA!
Valeu #BancoInter @Bancointer https://t.co/Wz4W2URNgh",N
57,57,@safirebicalho @CeciliaPbp @interinvest @Bancointer Poderia liberar a dm por gentileza ?,N
58,58,"RT @portallovato: Atenção, lovatics!

Acompanhem hoje a cobertura do primeiro show da Holy Fvck Tour no Brasil no nosso perfil e no perfil…",S
59,59,@portallovato @Bancointer VENDO MEIA ENTRADA PISTA NORMAL SP DIA 31,N
60,60,"@ThiagoAstor @Bancointer @nubank Cara vc nunca mais vai tomar Amstel, pois ela patrocina a Libertadores!!🤪😜🤪😜",N
61,61,"RT @portallovato: Atenção, lovatics!

Acompanhem hoje a cobertura do primeiro show da Holy Fvck Tour no Brasil no nosso perfil e no perfil…",S
62,62,"RT @portallovato: Atenção, lovatics!

Acompanhem hoje a cobertura do primeiro show da Holy Fvck Tour no Brasil no nosso perfil e no perfil…",S
63,63,"@srvitiinho @Bancointer Tô abrindo outra... Então, vai pela sombra... Faz falta nenhuma..",N
64,64,"RT @portallovato: Atenção, lovatics!

Acompanhem hoje a cobertura do primeiro show da Holy Fvck Tour no Brasil no nosso perfil e no perfil…",S
65,65,"RT @portallovato: Atenção, lovatics!

Acompanhem hoje a cobertura do primeiro show da Holy Fvck Tour no Brasil no nosso perfil e no perfil…",S
66,66,@m_a_r_c_e_l_o_f @Bancointer Poderia liberar a dm por gentileza ?,N
67,67,"RT @portallovato: Atenção, lovatics!

Acompanhem hoje a cobertura do primeiro show da Holy Fvck Tour no Brasil no nosso perfil e no perfil…",S
68,68,@portallovato @Bancointer amooo,N
69,69,"RT @portallovato: Atenção, lovatics!

Acompanhem hoje a cobertura do primeiro show da Holy Fvck Tour no Brasil no nosso perfil e no perfil…",S
70,70,"RT @portallovato: Atenção, lovatics!

Acompanhem hoje a cobertura do primeiro show da Holy Fvck Tour no Brasil no nosso perfil e no perfil…",S
71,71,"@portallovato @Bancointer o banco inter fazendo tudo, amo esse banco meu deus",N
72,72,"RT @portallovato: Atenção, lovatics!

Acompanhem hoje a cobertura do primeiro show da Holy Fvck Tour no Brasil no nosso perfil e no perfil…",S
73,73,"RT @portallovato: Atenção, lovatics!

Acompanhem hoje a cobertura do primeiro show da Holy Fvck Tour no Brasil no nosso perfil e no perfil…",S
74,74,"RT @portallovato: Atenção, lovatics!

Acompanhem hoje a cobertura do primeiro show da Holy Fvck Tour no Brasil no nosso perfil e no perfil…",S
75,75,"RT @Bancointer: É oficial: voltamos pro mundo do esporte! E pra marcar esse momento, iniciamos uma parceria que é um verdadeiro furacão! ⚽️…",S
76,76,"RT @portallovato: Atenção, lovatics!

Acompanhem hoje a cobertura do primeiro show da Holy Fvck Tour no Brasil no nosso perfil e no perfil…",S
77,77,"RT @portallovato: Atenção, lovatics!

Acompanhem hoje a cobertura do primeiro show da Holy Fvck Tour no Brasil no nosso perfil e no perfil…",S
78,78,"RT @portallovato: Atenção, lovatics!

Acompanhem hoje a cobertura do primeiro show da Holy Fvck Tour no Brasil no nosso perfil e no perfil…",S
79,79,"RT @portallovato: Atenção, lovatics!

Acompanhem hoje a cobertura do primeiro show da Holy Fvck Tour no Brasil no nosso perfil e no perfil…",S
80,80,"RT @portallovato: Atenção, lovatics!

Acompanhem hoje a cobertura do primeiro show da Holy Fvck Tour no Brasil no nosso perfil e no perfil…",S
81,81,"RT @portallovato: Atenção, lovatics!

Acompanhem hoje a cobertura do primeiro show da Holy Fvck Tour no Brasil no nosso perfil e no perfil…",S
82,82,"RT @portallovato: Atenção, lovatics!

Acompanhem hoje a cobertura do primeiro show da Holy Fvck Tour no Brasil no nosso perfil e no perfil…",S
83,83,"Atenção, lovatics!

Acompanhem hoje a cobertura do primeiro show da Holy Fvck Tour no Brasil no nosso perfil e no perfil do Inter (@bancointer)! 🧡

Esperamos vocês! #publi",N
84,84,@srvitiinho @Bancointer Vao sentir tanta falta de vc 😂,N
85,85,@feippe_pereira @AthleticoPR @Bancointer Petraglia não quer camisa nova.,N
86,86,@Bancointer Saíram do São Paulo e foram para um time minúsculo em termos de torcida.,N
87,87,@the_buckminster @Bancointer Parafraseando o petraglia Clube Atletico existem milhares na america,N
88,88,"RT @Bancointer: É oficial: voltamos pro mundo do esporte! E pra marcar esse momento, iniciamos uma parceria que é um verdadeiro furacão! ⚽️…",S
89,89,@AthleticoPR @mateusbarchik01 @Bancointer Inédito?,N
90,90,@GalaxyThur @Lucas_o_Kiwi @AthleticoPR @Bancointer Kkkkkkkkk,N
91,91,"O @Bancointer e @AthleticoPR estreiam parceria inédita que vai levar tecnologia e novas experiências para os torcedores.⚽️

O clube vai estampar a logomarca do Inter em seus uniformes nos próximos jogos da CONMEBOL Libertadores. Confira:

https://t.co/U3g5Xl3x8j",N
92,92,Alguém usa carteira remunerada do @Bancointer ?? Como funciona ?,N
93,93,@Bancointer vamos pra cima juntos! ♥️🖤🧡🌪️🌪️,N
94,94,"@JAthleticano @ThiagoAstor @Bancointer @nubank A Ligga só trabalha com internet, quem fornece luz é a Copel. Nada ver uma coisa com a outra. E a Ligga patrocina o Cori tb.",N
95,95,RT @Bancointer: Agora é assim! 💰🤪 https://t.co/GqMnsqP9ij,S
96,96,"@Bancointer Liguei no mesmo dia e o atendente nem tinha conhecimento da promoção. Resolvi ontem através do Reclame Aqui, lá sim o atendimento foi excelente",N
97,97,"@Bancointer @isis4lbuquerque Precisa melhorar a qualidade dos cartões, arranham muito facilmente.",N
98,98,@ThiagoAstor @Bancointer @nubank poxinha,N
99,99,"@AthleticoPR @Bancointer Uma dúvida sincera aos torcedores do athletico, tem algo que proíbe novos design de camisa no estatuto de vcs? Tenho a impressão que vcs usam a mesma camisa desde 2018",N
