,0
0,bancoint
1,cashback
2,loj
3,thiagoast
4,bancoint
5,nubank
6,cort
7,cas
8,então
9,filho
10,put
11,ligg
12,patrocin
13,gent
14,jathleticano
15,thiagoast
16,bancoint
17,nubank
18,par
19,bacon
20,el
21,patrocinam
22,bale
23,bancoint
24,of
25,voltamo
26,mundo
27,esport
28,marc
29,ess
30,momento
31,iniciamo
32,parcer
33,verdadeiro
34,furacão
35,jasonllawr
36,bancoint
37,poder
38,liber
39,gentilez
40,portallovato
41,bancoint
42,amoooo
43,thiagoast
44,infel
45,fechando
46,minh
47,cont
48,bancoint
49,motivo
50,sere
51,con
52,patrocínio
53,obrigado
54,tudo
55,thiagoast
56,bancoint
57,nubank
58,agor
59,abrindo
60,cont
61,int
62,valeu
63,int
64,is
65,lbuquerqu
66,bancoint
67,ess
68,bancoint
69,está
70,for
71,assim
72,abro
73,está
74,enfrentando
75,problema
76,volt
77,bancoint
78,entre
79,dua
80,vez
81,vez
82,el
83,acharam
84,feito
85,outro
86,banco
87,par
88,int
89,tod
90,transação
91,feit
92,int
93,par
94,int
95,então
96,puderam
97,ajud
98,athleticopr
99,bancoint
100,alvxaro
101,bancoint
102,mastercardbr
103,preciso
104,ness
105,alvxaro
106,compre
107,junto
108,namorado
109,ingresso
110,rock
111,namorado
112,terminou
113,comigo
114,perd
115,emprego
116,preciso
117,nosso
118,loiro
119,junto
120,influ
121,favorito
122,bancoint
123,dia
124,úte
125,nad
126,dinheiro
127,cont
128,nenê
129,https
130,efxt
131,portallovato
132,bancoint
133,fazendo
134,publ
135,chiqu
136,freddo_elyan
137,athleticopr
138,bancoint
139,pod
140,coloc
141,plac
142,jogo
143,também
144,talvez
145,coloc
146,alusão
147,dribl
148,cirino
149,ach
150,moraesvico
151,bancoint
152,vez
153,esqueço
154,tenho
155,cont
156,int
157,yasminmotax
158,bancoint
159,ess
160,cartão
161,nunc
162,mai
163,olh
164,gostav
165,muito
166,joao_paulo
167,bancoint
168,isso
169,cartão
170,bancoint
171,consegu
172,compr
173,ingresso
174,namorado
175,fic
176,próxima
177,yasminmotax
178,bancoint
179,aind
180,ped
181,moç
182,refaz
183,acordo
184,ter
185,condiçõ
186,pag
187,diss
188,ter
189,pag
190,nova
191,refaz
192,acordo
193,yasminmotax
194,bancoint
195,simples
196,pegaram
197,dinheiro
198,fizeram
199,acordo
200,el
201,ferre
202,joao_paulo
203,bancoint
204,rolou
205,nunc
206,mai
207,deixo
208,dinheiro
209,bancoint
210,depo
211,hoj
212,mai
213,ess
214,cartão
215,is
216,lbuquerqu
217,bancoint
218,como
219,ess
220,negócio
221,kkkk
