,Palavra,Quantidade de Palavra,perc,perc_acum,perc_form,perc_acum_form
0,medíocre,1,0.3333333333333333,0.3333333333333333,33.3%,33.3%
1,Roubaram,1,0.3333333333333333,0.6666666666666666,33.3%,66.7%
2,problema,1,0.3333333333333333,1.0,33.3%,100.0%
3,reembolso,0,0.0,1.0,0.0%,100.0%
4,desrespeito,0,0.0,1.0,0.0%,100.0%
5,Nao atende,0,0.0,1.0,0.0%,100.0%
6,Nao consigo,0,0.0,1.0,0.0%,100.0%
7,desisti,0,0.0,1.0,0.0%,100.0%
8,pior cartao,0,0.0,1.0,0.0%,100.0%
9,roubo,0,0.0,1.0,0.0%,100.0%
10,desativaram,0,0.0,1.0,0.0%,100.0%
11,aumentando,0,0.0,1.0,0.0%,100.0%
12,faliu,0,0.0,1.0,0.0%,100.0%
13,reclamando,0,0.0,1.0,0.0%,100.0%
