,id,texto,Re_tweet
0,0,@bancopan Banco pan quero mimo 🥺,N
1,1,@bancopan Não 😨😱😰,N
2,2,@bancopan @bancopan porque o aplicativo de vocês nunca funciona? E por que seus lindos atendentes me ligam de 30 em 30 segundos quando o que quero solicitar é bem simples ( funcionaria através de um único email).,N
3,3,"@c_lanzotti @bancopan Eu só quero me desvincular desse banco, só dor de cabeça",N
4,4,@712YUNG @bancopan acontece o mesmo comigo! vou pagar essa fatura e cancelar a conta. esse pan tá mais pra uma piada. deixa a Jojo saber disso...,N
5,5,"@nandomtts @spbancarios @s @santander_br @Bradesco @itau @bancosafra @BancodoBrasil @bancopan @BancoOriginal @FEBRABAN @Banrisul #PropostaDecenteOuGreve

@itau @Bradesco @Santander_br @BancodoBrasil @Caixa @FEBRABAN

😡 Fenaban!
🤬🤬

@spbancarios
@ivonesilva
@mrosanihashizu1
@NeivaMrs
@fetecsp
@alinemolina1
@Contraf_CUT
@Juvandia
@CUT_Brasil
@CUTsaopaulo
@lcmarcolino
@Afubesp_
@camiloafubesp 
@RitaBerlofa",N
6,6,"@nandomtts @spbancarios @s @santander_br @Bradesco @itau @bancosafra @BancodoBrasil @bancopan @BancoOriginal @FEBRABAN @Banrisul #PropostaDecenteOuGreve

@itau @Bradesco @Santander_br @BancodoBrasil @Caixa @FEBRABAN

😡 Fenaban!
🤬🤬

@spbancarios
@ivonesilva
@mrosanihashizu1
@NeivaMrs
@fetecsp
@alinemolina1
@Contraf_CUT
@Juvandia
@CUT_Brasil
@CUTsaopaulo
@lcmarcolino
@Afubesp_
@camiloafubesp 
@RitaBerlofa",N
7,7,@bancopan e aí? suporte horrível. vou pagar essa fatura e cancelar a conta com vocês. segunda vez que acontece isso.,N
8,8,@bancopan Nada feito https://t.co/lRNZHMvVU8,N
9,9,@bancopan cadê essa disposição toda pra ajudar? o que fazer quando dá esse erro e nem deixa criar uma nova senha?,N
10,10,"@bancopan mas a conta não entra! ""ops, tivemos um problema inesperado, tente novamente"". e com isso esqueci a senha, mas não dá pra resetar (dá o mesmo erro).",N
11,11,"@JorgeWPena @bancopan Veja se não sujaram seu nome, amigo",N
12,12,Mais uma vez me ligam dizendo ser só @bancopan e que há um empréstimo pra cair na minha conta e que devo ligar para 0800 0002104. Semana passada fiz o tal cancelamento de consignado e descobri que não havia consignando algum no INSS. O banco tens e fazer algo contra,N
13,13,"@bancopan A data está correta. Já reiniciei o celular, desinstalei e instalei de novo o app e o erro continua.",N
14,14,@bancopan E porque o site de vocês está fora do ar? E pelo telefone a opção 9 não é mais para falar com atendente? Estou preocupado.,N
15,15,"@bancopan @bancopan não consigo acessar o app. Podem me ajudar, por favor?",N
16,16,"Por engano, paguei R$ 140 a mais na fatura do cartão do @bancopan. Passou-se meses e ainda não me devolveram o valor, mesmo depois de entrar em contato. Atendimento muito ruim. Não recomendo a ninguém",N
17,17,"@bancopan @bancopan preciso de suporte, falar com alguém. Isso é possível?",N
18,18,@bancopan Isso não acontece. Fico esperando e nada!,N
19,19,"@bancopan Como faz para falar com um atendente? Estou horas tentando e nada! Só atendimento eletrônico e não resolve meu problema, difícil vocês,hein!",N
20,20,Alô @bancopan  o que está acontecendo com seu aplicativo 🤦🏻‍♂️resolve isso aí,N
21,21,@Ricardo77460721 @bancopan Até eu preocupei agora....eu fiz contrato com o banco PAN,N
22,22,"@CardozoMClaudia Tem um cartão, não vou dizer que é o @bancopan, que liga e manda mensagem avisando que a fatura vai vencer. É o inferno antes, durante e depois da dívida existir!",N
23,23,RT @bancopan: 😎🌞 Você recebeu um voucher de viagem e pode ir a qualquer lugar do mundo. Para onde iria? 😎🌞,S
24,24,"RT @bancopan: Se sua vida financeira fosse um jogo, em qual fase você estaria? 🤔
1. Iniciou a 1ª fase - fez as compras do mês. ✅ 
2. Enfren…",S
25,25,Meu limite não tá sendo suficiente é o @bancopan NAO FAZ NADA!!!!,N
26,26,@DiegoCorrets @bancopan Faça! Sério!,N
27,27,"Desculpa @AlgarTelecom por ter reclamado do seu atendimento há alguns dias.
Nada supera o péssimo atendimento do @bancopan !!",N
28,28,@bancopan Isso já estar pago e fica no sistema de vcs como atraso e depois na profayura vem os juros e aí eu tenho que ficar ligando pra vcs com esse atendimento horrível para poder resolver isso. Quando eu falo que esse banco é uma MERDA não é atoa https://t.co/Hba7NJrZvc,N
29,29,@anaacaeb @bancopan Vou fazer o mesmo.,N
30,30,@DiegoCorrets @bancopan Ou com o meu limite que foi rebaixado DO NADA. Ainda bem que já me livrei dessa porcaria de banco.,N
31,31,"RT @nandomtts: Não aceitarmos desrespeito contra @s trabalhadorxs. 

#AgoraÉGreve
@santander_br @Bradesco  @itau @bancosafra  @BancodoBrasi…",S
32,32,"@nandomtts @s @santander_br @Bradesco @itau @bancosafra @BancodoBrasil @bancopan @BancoOriginal @FEBRABAN @Banrisul ESTUDAR PARA ESCREVER CORRETAMENTE NÃO QUER. O ""TRABALHADORXS"" É A IGNORÂNCIA EM SUA ESSÊNCIA.
#AgoraÉgreve",N
33,33,"@bancopan ACABARAM DE ABRIR UMA CONTA NESSE BANCO SEM TER SIDO EU, E PELO JEITO ACONTECEU COM OUTRAS PESSOAS!!!!",N
34,34,"@bancopan O pagseguro está bloqueando saldo do trabalhador e cancelando as contas, falta de respeito. Arrependida de ter comprasdo essa maldita máquina. 3 meses tentando sacar 1.200 que eles estão segurando e não devolvem.",N
35,35,"@bancopan Kkkk tentei fazer um empréstimo, pq sou beneficiário do bolsa família, cai em site fraudulento, tenho anti vírus no meu celular 📱, e tem outra tenho o app de vcs no meu celular, e através dele fui encaminhado pra um canal através de WhatsApp, deu ruim 👎",N
36,36,@bancopan Queria Mimi 🥺,N
37,37,"RT @nandomtts: Não aceitarmos desrespeito contra @s trabalhadorxs. 

#AgoraÉGreve
@santander_br @Bradesco  @itau @bancosafra  @BancodoBrasi…",S
