,0
0,bancop
1,banco
2,quero
3,mimo
4,bancop
5,bancop
6,bancop
7,porqu
8,aplicativo
9,você
10,nunc
11,funcion
12,seu
13,lindo
14,atend
15,ligam
16,segundo
17,quando
18,quero
19,solicit
20,simpl
21,funcionar
22,atravé
23,único
24,email
25,c_lanzotti
26,bancop
27,quero
28,desvincul
29,dess
30,banco
31,cabeç
32,yung
33,bancop
34,acontec
35,mesmo
36,comigo
37,pag
38,ess
39,fatur
40,cancel
41,cont
42,ess
43,mai
44,piad
45,deix
46,jojo
47,sab
48,disso
49,nandomt
50,spbancarios
51,santander_br
52,bradesco
53,itau
54,bancosafr
55,bancodobrasil
56,bancop
57,bancoorigin
58,febrab
59,banris
60,itau
61,bradesco
62,santander_br
63,bancodobrasil
64,caix
65,febrab
66,fenab
67,spbancarios
68,ivonesilv
69,mrosanihashizu
70,neivamr
71,fetecsp
72,alinemolin
73,contraf_cut
74,juvand
75,cut_brasil
76,cutsaopaulo
77,lcmarcolino
78,afubesp_
79,camiloafubesp
80,ritaberlof
81,nandomt
82,spbancarios
83,santander_br
84,bradesco
85,itau
86,bancosafr
87,bancodobrasil
88,bancop
89,bancoorigin
90,febrab
91,banris
92,itau
93,bradesco
94,santander_br
95,bancodobrasil
96,caix
97,febrab
98,fenab
99,spbancarios
100,ivonesilv
101,mrosanihashizu
102,neivamr
103,fetecsp
104,alinemolin
105,contraf_cut
106,juvand
107,cut_brasil
108,cutsaopaulo
109,lcmarcolino
110,afubesp_
111,camiloafubesp
112,ritaberlof
113,bancop
114,suport
115,horrível
116,pag
117,ess
118,fatur
119,cancel
120,cont
121,você
122,segund
123,acontec
124,isso
125,bancop
126,nad
127,feito
128,https
129,lrnzhmvvu
130,bancop
131,cadê
132,ess
133,disposição
134,tod
135,ajud
136,faz
137,quando
138,ess
139,erro
140,deix
141,cri
142,nov
143,senh
144,bancop
145,cont
146,entr
147,tivemo
148,problem
149,inesperado
150,tent
151,nova
152,isso
153,esquec
154,senh
155,reset
156,mesmo
157,erro
158,jorgewpen
159,bancop
160,vej
161,sujaram
162,nom
163,amigo
164,mai
165,ligam
166,dizendo
167,bancop
168,empréstimo
169,cair
170,minh
171,cont
172,devo
173,lig
174,par
175,seman
176,passad
177,cancelamento
178,consignado
179,descobr
180,hav
181,consignando
182,alg
183,inss
184,banco
185,ten
186,faz
187,algo
188,contr
189,bancop
190,dat
191,está
192,corret
193,reinicie
194,celul
195,desinstale
196,instale
197,novo
198,erro
199,continu
200,bancop
201,porqu
202,sit
203,você
204,está
205,for
206,pelo
207,telefon
208,opção
209,mai
210,par
211,fal
212,atend
213,estou
214,preocupado
215,bancop
216,bancop
217,consigo
218,acess
219,podem
220,ajud
221,fav
222,engano
223,pague
224,mai
225,fatur
226,cartão
227,bancop
228,passou
229,mes
230,aind
231,devolveram
232,val
233,mesmo
234,depo
235,entr
236,contato
237,atendimento
238,muito
239,ruim
240,recomendo
241,ninguém
242,bancop
243,bancop
244,preciso
245,suport
246,fal
247,alguém
248,isso
249,possível
250,bancop
251,isso
252,acontec
253,fico
254,esperando
255,nad
256,bancop
257,como
258,par
259,fal
260,atend
261,estou
262,hora
263,tentando
264,nad
265,atendimento
266,eletrônico
267,resolv
268,problem
269,difícil
270,você
271,hein
272,bancop
273,está
274,acontecendo
275,aplicativo
276,resolv
277,isso
278,ricardo
279,bancop
280,preocupe
281,agor
282,contrato
283,banco
284,cardozomclaud
285,cartão
286,diz
287,bancop
288,lig
289,mand
290,mensagem
291,avisando
292,fatur
293,vent
294,inferno
295,ant
296,dur
297,depo
298,dívida
299,existir
300,bancop
301,você
302,recebeu
303,vouch
304,viagem
305,pod
306,qualqu
307,lug
308,mundo
309,par
310,ond
311,ir
312,bancop
313,vid
314,financeir
315,foss
316,jogo
317,qual
318,fas
319,você
320,estar
321,iniciou
322,fas
323,compra
324,enfr
325,limit
326,sendo
327,suficy
328,bancop
329,nad
330,diegocorret
331,bancop
332,faç
333,sério
334,desculp
335,algartelecom
336,reclamado
337,atendimento
338,algun
339,dia
340,nad
341,super
342,péssimo
343,atendimento
344,bancop
345,bancop
346,isso
347,est
348,pago
349,fic
350,sistem
351,como
352,atraso
353,depo
354,profayur
355,juro
356,tenho
357,fic
358,ligando
359,ess
360,atendimento
361,horrível
362,par
363,pod
364,resolv
365,isso
366,quando
367,falo
368,ess
369,banco
370,merd
371,ato
372,https
373,njrzvc
374,anaacaeb
375,bancop
376,faz
377,mesmo
378,diegocorret
379,bancop
380,limit
381,rebaixado
382,nad
383,aind
384,livre
385,dess
386,porcar
387,banco
388,nandomt
389,aceitarmo
390,desrespeito
391,contr
392,trabalhadorx
393,agoraégrev
394,santander_br
395,bradesco
396,itau
397,bancosafr
398,bancodobras
399,nandomt
400,santander_br
401,bradesco
402,itau
403,bancosafr
404,bancodobrasil
405,bancop
406,bancoorigin
407,febrab
408,banris
409,estud
410,par
411,escrev
412,correta
413,quer
414,trabalhadorx
415,ignorânc
416,essênc
417,agoraégrev
418,bancop
419,acabaram
420,abrir
421,cont
422,ness
423,banco
424,sido
425,pelo
426,jeito
427,aconteceu
428,outra
429,pessoa
430,bancop
431,pagseguro
432,está
433,bloqueando
434,saldo
435,trabalhad
436,cancelando
437,conta
438,falt
439,respeito
440,arrependid
441,comprasdo
442,ess
443,maldit
444,máquina
445,mes
446,tentando
447,sac
448,el
449,estão
450,segurando
451,devolvem
452,bancop
453,kkkk
454,tente
455,faz
456,empréstimo
457,beneficiário
458,bols
459,famíl
460,sit
461,fraudulento
462,tenho
463,ant
464,vírus
465,celul
466,outr
467,tenho
468,celul
469,atravé
470,del
471,encaminhado
472,can
473,atravé
474,whatsap
475,ruim
476,bancop
477,quer
478,mim
479,nandomt
480,aceitarmo
481,desrespeito
482,contr
483,trabalhadorx
484,agoraégrev
485,santander_br
486,bradesco
487,itau
488,bancosafr
489,bancodobras
490,queraiv
491,bancop
492,sempr
493,atrasando
494,vid
495,agor
496,dinheiro
497,simples
498,quer
499,abrir
500,ninguém
501,atend
502,ness
503,banco
504,https
505,npuyewqgb
506,elogie
507,bancop
508,está
509,fazendo
510,palhaçad
511,comigo
512,banco
513,lixo
514,abaixou
515,minh
516,fatur
517,tmnc
518,bancop
519,falt
520,noção
521,car
522,bancop
523,israel
524,sonho
525,isso
526,metatrez
527,agoraégrev
528,itau
529,santander_br
530,bradesco
531,bancop
532,bancoorigin
533,bancoint
534,bancodobrasil
535,bancoorigin
536,febrab
537,http
538,nandomt
539,aceitarmo
540,desrespeito
541,contr
542,trabalhadorx
543,agoraégrev
544,santander_br
545,bradesco
546,itau
547,bancosafr
548,bancodobras
549,bancop
550,quero
551,entr
552,minh
553,cont
554,esquec
555,senh
556,busco
557,recurso
558,aparec
559,isso
560,resolv
561,https
562,ozsyclec
563,nandomt
564,aceitarmo
565,desrespeito
566,contr
567,trabalhadorx
568,agoraégrev
569,santander_br
570,bradesco
571,itau
572,bancosafr
573,bancodobras
574,nandomt
575,aceitarmo
576,desrespeito
577,contr
578,trabalhadorx
579,agoraégrev
580,santander_br
581,bradesco
582,itau
583,bancosafr
584,bancodobras
585,bancop
586,egito
587,poi
588,futuro
589,marido
590,mor
