,id,texto,Re_tweet
0,0,RT @luizcebola: Meu cartão do @nubank está meio esfolado e quero usar um virtual no Apple Pay. Só que meu app está no iPad (por segurança)…,S
1,1,"@JAthleticano @ThiagoAstor @Bancointer @nubank Vou parar com x bacon, eles patrocinam a baleia da sua mãe",N
2,2,pelo amor de deus @nubank aumenta meu limite,N
3,3,"@Wanderley @nubank Wanderley aconteceu com o meu filho ontem, compraram nas lojas Renner depois tentaram comprar na Nike os caras eram de Fortaleza.",N
4,4,@rogersilvasouza @nubank CARALHO BICHO QUASE 1.5K DE UFOOD VAI SE FODER COZINHA UMAS MARMITA NESSA PORRA MANO,N
5,5,"E a @nubank que saiu do ar e não quer fazer pix NOVAMENTE, eita que inferno",N
6,6,@MercadoLivre @ArthurSilva1983 @nubank Até hoje NADA @MercadoLivre,N
7,7,"@eurodrigo1_ @nubank Amigo, eu passei 3 anos com conta, pra liberarem o crédito. Ódio desse banco",N
8,8,"Abandonando de vez a @nubank, a fase maravilhosa de banco digital passou, voltando pro físico mesmo🤡🤡🤡",N
9,9,Comecei a usar o controle de gastos do @nubank agora que não tem mais a Olívia e tô vendo que esse mês eu enfiei o pé na jaca no IFood foram 42 pedidos. Muito boa essa feature do App https://t.co/uC3upPvMWs,N
10,10,"RT @ThiagoAstor: Infelizmente fechando minha conta @Bancointer por motivos de: Não serei conivente ao patrocínio ao cap. Obrigado por tudo,…",S
11,11,"@ThiagoAstor @Bancointer @nubank Agora sim, abrindo a conta na Inter. Valeu Inter",N
12,12,"@ReceitaGovBr como faço para saber a situação do meu CPF, não estou conseguindo fazer uma conta digital no @nubank ?",N
13,13,"Meu cartão da Nubank foi clonado e eles simplesmente não querem me fazer o estorno devido.
@nubank QUERO SÓ O ESTORNO QUE É DIREITO MEU.",N
14,14,a @nubank me parabenizando por um ano de conta mas não quer me dar um cartão de crédito,N
15,15,"@santander_br o banco que não consegue ficar 1 dia sequer sem o sistema cair ,devia pedir ajuda do pessoal de T.I do @Bradesco ou @nubank",N
16,16,"RT @nubank: @FelipeSlorenzo Amamos saber que essa novidade já está disponível para vc! 😍
Sua opinião é importante para nós e é assim que a…",S
17,17,Meu cartão do @nubank está meio esfolado e quero usar um virtual no Apple Pay. Só que meu app está no iPad (por segurança) e não consigo adicionar no Wallet do iPhone. É impressionante o contraste entre a facilidade dos ladrões e a dificuldade dos clientes com a sua “segurança”!,N
18,18,"Eu quando vejo a fatura do cartão @nubank  e vejo que não aumentaram o meu limite e não vou poder ir no @rockinrio 

@mariacarolinan4 #queroir #RockInRio https://t.co/OWEL6uay6p",N
19,19,"RT @nubank: AVISE! 😡 

Avise que hoje a gata vai cantar! @anitta 💜",S
20,20,"Ô @nubank, libera aquele empréstimo (que tava disponível e sumiu) pra mim aí, vai!",N
21,21,"O @nubank pegando meus dados pelo cadastro da minha irmã.

Isso não fere a LGPD não?",N
22,22,@nubank Vou tentar kkk 🙌🏻,N
23,23,@nubank lançou as caixinhas! O/ Maravilha!!,N
24,24,"Droga rs, acho que vou ter que pedir um novo roxinho @nubank o chip do cartão acho que deu problema. 🙄",N
25,25,"@Bradesco, Brazil’s 3rd largest banking institution, announced it’s acquiring Mexican digital lender Ictineo. The acquisition is part of the Brazilian lender’s not-so-subtle master plan to fight @Nubank, @Klar_mx, &amp; @Fondeadora to become the biggest digital bank in Mexico. (2/13) https://t.co/8b4h6z8oQP",N
26,26,"@nubank Reserva de emergência, tirar carteira de motorista e comprar sofá 🤩",N
27,27,obrigado @nubank pelas caixinhas. 👍,N
28,28,@Nandax_3 @nubank Mesma coisa aqui,N
29,29,"@ThiagoAstor @Bancointer @nubank Pra seguir na zoeira.

Muda de estado tbém, o governo do PR pagou a arena 🤣",N
30,30,"@ThiagoAstor @Bancointer @nubank A variedade de memes que esse verdaum dispara, não é brincadeira! Kkk",N
31,31,que isso aqui @nubank? https://t.co/0N3Jao4Rcu,N
32,32,"Aviso pra a @nubank @C6Bank @Bancointer eu juro que alguém clonou meu cartão não é possível minha faturar estar nesse valor, tenho Rock in Rio semana que vem gente o que vou fazer kkkkkkkkkkkkkkk 😿😿😿😿😿😿😿",N
33,33,Que p* rra de aplicativo que não consegui tirar aproximação do cartão.@nubank,N
34,34,@drii_aquino @JosLuiz11156041 @nubank 😂😂😂😂😂😂 gente vai dar tudo certo 🙏🏻,N
35,35,"Te amarei para sempre @nubank 
Mas precisei cancelar pq ñ sei usar a função crédito 😭 #RIP #RestInPeace #descanseempaz https://t.co/2yIFZlEUtk",N
36,36,RT @AnaCaro914085: @RaissaAlmeida_ @nubank oi aumenta o limite da minha amiga por favor 🥺🙏🏻,S
37,37,@jr_zenii @nubank isso que dá n pagar a fatura,N
38,38,@JosLuiz11156041 @barbaraisa98 @nubank ela tá tão fudida,N
39,39,Minha fatura simplesmente não quer ser paga ajuda nois @nubank,N
