,Palavra,Quantidade de Palavra,perc,perc_acum,perc_form,perc_acum_form
0,problema,8,0.8,0.8,80.0%,80.0%
1,roubo,1,0.1,0.9,10.0%,90.0%
2,reclamando,1,0.1,1.0,10.0%,100.0%
3,medíocre,0,0.0,1.0,0.0%,100.0%
4,reembolso,0,0.0,1.0,0.0%,100.0%
5,desrespeito,0,0.0,1.0,0.0%,100.0%
6,Nao atende,0,0.0,1.0,0.0%,100.0%
7,Nao consigo,0,0.0,1.0,0.0%,100.0%
8,Roubaram,0,0.0,1.0,0.0%,100.0%
9,desisti,0,0.0,1.0,0.0%,100.0%
10,pior cartao,0,0.0,1.0,0.0%,100.0%
11,desativaram,0,0.0,1.0,0.0%,100.0%
12,aumentando,0,0.0,1.0,0.0%,100.0%
13,faliu,0,0.0,1.0,0.0%,100.0%
